DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20191228,99M64B01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191228,79363301,15558,PEN DRIVE 8GB PD687 TWIST ROSA               
20191228,99PSB601,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20191227,9ODTJW01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191227,99AIIR01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191227,99E35501,25481,SMARTPHONE LG K9 TV LM-X210BMW DOURADO       
20191227,72695001,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20191227,09912301,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191227,09912301,25767,CAIXA AMPLIFICADA CM-11 MULT CONECT PARTY BIV
20191227,99MWU801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20191227,9ONB9A01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191227,9O63X501,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20191227,51694301,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191226,YYYPRX01,25481,SMARTPHONE LG K9 TV LM-X210BMW DOURADO       
20191226,99BVWE01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20191226,99K9VU01,24278,MEGA DRIVE 22 JOGOS TECTOY                   
20191226,9OH3LT01,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20191226,9OH3LT01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191224,9ONB9A01,24618,RELOGIO SMART RIU WATCH R160 DOURADO         
20191224,9ONB9A01,25241,PEN DRIVE MC162 2X1 LEITOR USB SD 16GB       
20191224,99MWU801,21823,PEN DRIVE SONY R 8GB USMRGR                  
20191224,9OENUQ01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191224,15961301,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191224,99DZQ301,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191224,99DZQ301,24632,CAIXA AMPLIFICADA CM-07 MONDIAL              
20191224,60412701,21821,PEN DRIVE NANO 16GB PD054 PRETO              
20191223,9ODTJW01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191223,99HMYE01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191223,99HMYE01,22218,CONJ.SC-AKX220LBK PANASONIC                  
20191223,99HDE901,26423,CAIXA AMPLIFICADA CM-09 CONNECT DJ CONTROLLER
20191223,99HDE901,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191223,52142601,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191223,20930401,26386,SMARTPHONE LG K8 PLUS AZUL                   
20191223,99MWU801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20191223,99MWU801,21823,PEN DRIVE SONY R 8GB USMRGR                  
20191223,99DVRS01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191221,YYYZ7101,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191221,60307801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20191221,60307801,25240,PEN DRIVE MC161 2X1 LEITOR USB SD 8G         
20191221,65783101,24632,CAIXA AMPLIFICADA CM-07 MONDIAL              
20191221,99MWU801,15558,PEN DRIVE 8GB PD687 TWIST ROSA               
20191221,99MWU801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20191221,77802901,26243,SUPORTE UNIV. BEDIN BU-25                    
20191221,77802901,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191220,YYYYFT01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191220,YYYYN901,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20191220,YYYYN901,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191220,YYYY8Z01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191220,99DR7901,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191220,9NYOXM01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191220,9NYOXM01,25240,PEN DRIVE MC161 2X1 LEITOR USB SD 8G         
20191220,99980501,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191220,99D2XP01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191220,15961301,19828,AUDIO PB500 BT PHILCO                        
20191220,95955001,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191220,55037201,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191220,52779301,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191220,99LW5M01,26432,AUTO RADIO AR-06 PRETO                       
20191220,9OD33V01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191220,9O0DOI01,25250,SMARTPHONE SAMSUNG GAL J6 64GB DB VIOLETA    
20191220,99LPCI01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191219,50897401,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191219,46035301,25355,"TELEVISOR SMART 43"" UN43J5290 SAMSUNG        "
20191219,46035301,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191219,99HUFV01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191219,9NYHWD01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191219,9O1BJS01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20191219,9OATPQ01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191219,99IE1A01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191219,72695001,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20191219,72695001,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191219,72695001,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191219,9OCRZM01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191219,15763701,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191219,28977001,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191218,99DGUU01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191218,99CLL801,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191218,79363301,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191218,9O0OAL01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191218,99HQBH01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191218,9OIOM201,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191218,99MWU801,15558,PEN DRIVE 8GB PD687 TWIST ROSA               
20191218,99MWU801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20191218,9NZLPO01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191218,9O63X501,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191218,9ODZ0Q01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191218,33192001,15558,PEN DRIVE 8GB PD687 TWIST ROSA               
20191218,33192001,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191218,85201401,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191217,9O5NS501,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191217,9NY3LN01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
